"","song","artist","WeekID","Peak.Position","Weeks.on.Chart","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","Month","Season","artist.pop"
"917","From Where You Are","Lifehouse",2007-11-24,61,2,0.185,0.363,181280,0.408,2.94e-06,9,0.113,-10.861,0,0.0273,87.337,4,0.271,11,"Fall",2
"918","From Yesterday","Thirty Seconds To Mars",2007-02-03,99,8,0.006,0.467,247373,0.876,0.00592,10,0.035,-4.841,1,0.0693,135.055,4,0.131,2,"Winter",0
"919","Full Moon","Brandy",2002-05-04,94,20,0.313,0.686,244340,0.66,0.0022,10,0.115,-5.014,0,0.105,106.042,4,0.617,5,"Spring",1
"920","Funhouse","P!nk",2009-10-10,97,13,0.006,0.788,204413,0.86,1.525e-06,11,0.049,-2.993,0,0.0344,103.947,4,0.817,10,"Fall",5
"921","Furthest Thing","Drake",2013-10-12,56,2,0.147,0.484,267373,0.78,0,9,0.057,-5.264,0,0.135,137.101,4,0.271,10,"Fall",4
"922","G.U.Y.","Lady Gaga",2014-04-12,76,1,0.014,0.616,232667,0.919,0,5,0.117,-3.468,0,0.0401,110.008,4,0.572,4,"Spring",8
"923","Gallery","Mario Vazquez",2006-07-29,99,20,0.017,0.593,223613,0.651,0,9,0.141,-6.904,0,0.135,86.535,4,0.323,7,"Summer",0
"924","Galway Girl","Ed Sheeran",2017-03-25,94,5,0.074,0.624,170827,0.876,0,9,0.327,-3.374,1,0.1,99.943,4,0.781,3,"Spring",7
"925","Games","Luke Bryan",2015-03-28,99,5,0.179,0.516,176293,0.886,0,8,0.135,-3.368,0,0.104,157.907,4,0.882,3,"Spring",8
"926","Gang Gang","Migos",2018-02-10,73,1,0.272,0.635,181319,0.601,0,2,0.112,-9.837,1,0.144,180.046,4,0.515,2,"Winter",1
"927","Gasolina","Daddy Yankee",2004-11-13,96,20,0.332,0.857,192600,0.801,1.2e-06,0,0.079,-6.499,1,0.0618,96.009,4,0.753,11,"Fall",0
"928","Georgia","Carolyn Dawn Johnson",2001-01-27,98,5,0.055,0.533,293160,0.621,0,0,0.219,-6.285,1,0.032,81.594,4,0.279,1,"Winter",0
"929","Georgia Clay","Josh Kelley",2011-04-09,89,3,0.07,0.612,183760,0.731,0,6,0.188,-5.022,1,0.0317,106.982,4,0.56,4,"Spring",0
"930","Georgia Rain","Trisha Yearwood",2005-08-06,98,9,0.61,0.528,311360,0.456,4.62e-05,10,0.19,-5.618,1,0.0241,99.092,4,0.164,8,"Summer",0
"931","Geronimo","Sheppard",2014-12-20,96,21,0.477,0.712,218228,0.763,0.00118,7,0.114,-6.254,1,0.0867,142.031,4,0.503,12,"Winter",0
"932","Get Along","Kenny Chesney",2018-04-21,85,21,0.101,0.632,199625,0.804,0,7,0.17,-6.109,1,0.0503,92.456,4,0.35,4,"Spring",1
"933","Get Back","Demi Lovato",2008-08-30,43,6,0.006,0.554,200213,0.849,0,0,0.043,-3.618,1,0.106,75.973,4,0.74,8,"Summer",0
"934","Get Back","Ludacris",2004-11-20,66,20,0.075,0.582,270747,0.651,0,1,0.134,-4.971,1,0.257,171.463,4,0.191,11,"Fall",2
"935","Get Buck","Young Buck",2007-04-14,100,3,0.503,0.791,254493,0.656,0,1,0.037,-6.058,0,0.187,76.505,4,0.606,4,"Spring",0
"936","Get Busy","Sean Paul",2003-02-22,82,32,0.615,0.735,211666,0.824,0,10,0.158,-4.143,0,0.036,100.202,4,0.726,2,"Winter",1
"937","Get By","Talib Kweli",2003-03-29,99,10,0.004,0.659,227427,0.925,0,7,0.146,-4.76,1,0.388,90.19,4,0.77,3,"Spring",0
"938","Get Drunk And Be Somebody","Toby Keith",2006-01-21,93,20,0.378,0.609,179486,0.913,0,2,0.424,-3.66,1,0.0648,128.039,4,0.665,1,"Winter",7
"939","Get Her Back","Robin Thicke",2014-07-12,82,1,0.915,0.579,213173,0.287,0,4,0.097,-13.642,0,0.0828,187.797,4,0.735,7,"Summer",0
"940","Get Me Some Of That","Thomas Rhett",2014-01-25,94,20,0.073,0.549,187400,0.866,0,6,0.25,-5.306,1,0.0476,87.964,4,0.767,1,"Winter",2
"941","Get My Drink On","Toby Keith",2008-01-26,99,5,0.016,0.579,187053,0.955,0.000304,2,0.131,-4.252,1,0.0536,99.869,4,0.816,1,"Winter",8
"942","Get On Your Boots","U2",2009-02-07,96,3,0,0.559,205147,0.75,0.00898,7,0.193,-6.174,0,0.0344,149.025,4,0.635,2,"Winter",0
"943","Get Right","Jennifer Lopez",2005-01-22,53,17,0.081,0.713,231933,0.747,0,8,0.644,-4.713,1,0.123,97.049,4,0.554,1,"Winter",1
"944","Get Ugly","Jason Derulo",2016-01-09,100,12,0.046,0.75,200492,0.683,1.32e-06,9,0.297,-4.829,0,0.12,111.066,4,0.539,1,"Winter",4
"945","Get Up","50 Cent",2008-11-01,44,9,0.039,0.706,193613,0.813,0,6,0.302,-6.031,0,0.163,92.469,4,0.425,11,"Fall",4
"946","Get Up 10","Cardi B",2018-04-21,38,2,0.098,0.806,231453,0.57,0,1,0.105,-6.927,1,0.246,93.015,4,0.454,4,"Spring",1
"947","Get Used To It","Justin Bieber",2015-12-05,90,1,0.024,0.675,238133,0.689,0,0,0.178,-8.461,1,0.0536,110.065,4,0.463,12,"Winter",3
"948","Get Your Shine On","Florida Georgia Line",2013-02-09,96,20,0.003,0.497,222013,0.927,1.26e-06,0,0.413,-4.52,1,0.0371,96.991,4,0.607,2,"Winter",0
"949","Gettin' Some","Shawnna",2006-04-01,96,19,0.07,0.825,202760,0.597,0,4,0.063,-5.892,0,0.347,78.059,4,0.648,4,"Spring",0
"950","Gettin' You Home","Chris Young",2009-08-29,94,20,0.44,0.639,212133,0.678,1.45e-06,7,0.221,-5.02,1,0.0278,106.966,4,0.531,8,"Summer",0
"951","Getting Away With Murder","Papa Roach",2004-10-23,75,16,0,0.563,190993,0.967,2.478e-05,1,0.238,-4.144,1,0.0606,103.882,4,0.338,10,"Fall",1
"952","Ghetto Girls","Lil Bow Wow",2001-08-18,91,4,0.198,0.769,195267,0.732,0,5,0.308,-5.99,0,0.1,92.228,4,0.858,8,"Summer",1
"953","Ghost","Ella Henderson",2014-11-15,75,20,0.046,0.68,213213,0.84,8.38e-06,9,0.143,-3.823,1,0.0415,104.985,4,0.468,11,"Fall",0
"954","Ghost Town","Adam Lambert",2015-07-04,73,17,0.186,0.703,208330,0.736,1.92e-05,4,0.174,-5.709,0,0.046,119.955,4,0.274,7,"Summer",0
"955","Ghosts That We Knew","Mumford & Sons",2012-10-13,94,3,0.552,0.44,339720,0.276,0.00695,0,0.112,-12.151,1,0.0407,79.907,4,0.077,10,"Fall",3
"956","Gimme The Light","Sean Paul",2002-05-04,97,39,0.141,0.778,228000,0.761,4.61e-05,2,0.044,-5.529,1,0.0525,107.288,4,0.923,5,"Spring",0
"957","Gimmie That Girl","Joe Nichols",2010-03-13,98,20,0.205,0.5,185453,0.9,0.000251,2,0.694,-3.577,1,0.117,162.249,4,0.675,3,"Spring",1
"958","Ginza","J Balvin",2015-09-26,98,15,0.208,0.73,171093,0.809,0.0013,5,0.08,-6.406,0,0.0876,101.965,4,0.825,9,"Fall",0
"959","Girl","Beck",2005-08-20,100,1,0.054,0.681,209893,0.662,0.00512,8,0.206,-6.526,1,0.115,149.485,4,0.85,8,"Summer",1
"960","Girl","Destiny's Child",2005-04-02,95,19,0.31,0.567,224147,0.747,0,6,0.04,-6.019,0,0.105,89.036,4,0.556,4,"Spring",1
"961","Girl","Paul Wall",2006-03-18,95,16,0,0.693,278453,0.729,1.9e-05,4,0.119,-8.281,0,0.0347,83.989,4,0.614,3,"Spring",0
"962","Girl Crush","Little Big Town",2015-02-21,100,24,0.842,0.5,193320,0.225,0,0,0.112,-10.22,1,0.0302,173.788,3,0.355,2,"Winter",4
"963","Girl In A Country Song","Maddie & Tae",2014-08-16,78,20,0.285,0.59,217840,0.908,0,8,0.36,-3.789,1,0.084,160.028,4,0.874,8,"Summer",0
"964","Girl Like You","Jason Aldean",2018-12-01,99,4,0.035,0.543,193067,0.88,0.000227,3,0.304,-4.204,0,0.0365,144.057,4,0.483,12,"Winter",5
"965","Girl Next Door","Saving Jane",2006-02-25,91,20,0.014,0.635,203253,0.815,0,2,0.096,-5.553,1,0.0416,122.097,4,0.484,2,"Winter",0
"966","Girlfriend","Avril Lavigne",2007-03-17,5,24,0.001,0.56,216600,0.959,0.000206,7,0.209,-2.433,1,0.102,163.983,4,0.67,3,"Spring",4
"967","Girlfriend","Bow Wow & Omarion",2007-11-17,82,15,0.114,0.725,284827,0.795,0,7,0.258,-5.291,1,0.214,75.03,4,0.85,11,"Fall",0
"968","Girls Chase Boys","Ingrid Michaelson",2014-04-26,98,20,0.031,0.473,221413,0.82,1.55e-05,8,0.041,-5.702,1,0.0408,84.893,4,0.678,4,"Spring",0
"969","Give A Little Bit","Goo Goo Dolls",2004-11-27,74,20,0.002,0.557,214400,0.951,0.000172,0,0.157,-3.003,1,0.033,93.974,4,0.528,11,"Fall",2
"970","Give A Little More","Maroon 5",2010-09-04,86,1,0.001,0.753,180293,0.822,0.000191,0,0.141,-4.301,1,0.0386,117.952,4,0.938,9,"Fall",2
"971","Give It 2 Me","Madonna",2008-05-17,57,1,0.093,0.837,287907,0.954,0.000405,8,0.143,-3.512,0,0.0414,127.019,4,0.972,5,"Spring",2
"972","Give It All We Got Tonight","George Strait",2012-12-08,98,20,0.26,0.588,251333,0.642,2.37e-06,7,0.08,-6.986,1,0.0266,130.36,4,0.324,12,"Winter",4
"973","Give It Away","George Strait",2006-08-19,99,19,0.472,0.669,209320,0.651,0.000109,5,0.272,-5.79,1,0.0275,148.091,4,0.605,8,"Summer",5
"974","Give Me Back My Hometown","Eric Church",2014-01-25,95,20,0.506,0.619,252493,0.677,0.0592,1,0.082,-7.789,1,0.0295,103.96,4,0.5,1,"Winter",6
"975","Given Up","Linkin Park",2007-06-02,99,1,0.001,0.655,189293,0.885,0.000473,7,0.045,-4.116,1,0.0438,100.088,4,0.938,6,"Summer",2
"976","Gives You Hell","The All-American Rejects",2008-11-29,69,36,0.016,0.714,213107,0.725,0,4,0.073,-6.411,1,0.0402,99.988,4,0.59,11,"Fall",2
"977","Glad You Came","The Wanted",2012-01-28,85,37,0.059,0.756,198080,0.82,2.985e-05,7,0.11,-5.101,0,0.0654,126.91,4,0.41,1,"Winter",0
"978","Glass","Thompson Square",2012-06-23,100,11,0.299,0.576,231680,0.524,4.5e-06,1,0.13,-4.961,1,0.026,75.963,4,0.263,6,"Summer",2
"979","Global","Lil Baby",2018-12-15,91,1,0.106,0.672,169826,0.565,0,1,0.113,-6.504,1,0.441,163.827,4,0.313,12,"Winter",1
"980","Glory And Gore","Lorde",2014-03-08,88,3,0.267,0.683,210738,0.383,0,1,0.239,-8.781,1,0.038,143.931,4,0.264,3,"Spring",3
"981","Go Flex","Post Malone",2016-05-14,100,11,0.228,0.665,179613,0.498,0,5,0.076,-8.185,1,0.0831,81.967,4,0.127,5,"Spring",1
"982","Go Get It","T.I.",2012-08-04,77,1,0.002,0.366,217520,0.667,0,1,0.398,-5.683,1,0.246,76.627,4,0.51,8,"Summer",0
"983","Go On Girl","Ne-Yo",2008-04-05,96,3,0.191,0.624,261427,0.538,0,4,0.092,-6.907,1,0.117,167.935,4,0.593,4,"Spring",5
"984","God Bless America","Daniel Rodriguez",2001-12-29,99,2,0.93,0.16,168147,0.591,0.0379,8,0.497,-3.838,1,0.0381,85.364,4,0.306,12,"Winter",0
"985","God Gave Me You","Blake Shelton",2011-07-30,65,25,0.005,0.483,229533,0.844,7.29e-05,2,0.405,-5.043,1,0.0314,151.977,4,0.543,7,"Summer",5
"986","God Love Her","Toby Keith",2008-12-06,89,20,0.133,0.551,216627,0.919,8.36e-05,10,0.064,-3.895,1,0.0529,125.025,4,0.432,12,"Winter",6
"987","God Made Girls","RaeLynn",2014-11-08,98,16,0.109,0.493,214320,0.913,2.51e-06,3,0.187,-2.968,1,0.0294,156.083,4,0.766,11,"Fall",0
"988","God Must Be Busy","Brooks & Dunn",2008-02-02,99,11,0.101,0.456,231440,0.469,6.5e-05,9,0.317,-7.688,1,0.0311,78.513,4,0.272,2,"Winter",4
"989","God's Plan","Drake",2018-02-03,1,36,0.033,0.754,198973,0.449,8.29e-05,7,0.552,-9.211,1,0.109,77.169,4,0.357,2,"Winter",34
"990","God's Will","Martina McBride",2005-03-12,96,8,0.587,0.398,349333,0.332,0,1,0.085,-9.106,1,0.0317,121.531,3,0.191,3,"Spring",5
"991","Going On","Gnarls Barkley",2008-04-05,88,1,0.002,0.428,174040,0.911,0,1,0.332,-4.743,1,0.0554,150.038,4,0.467,4,"Spring",1
"992","Gold","Britt Nicole",2013-03-16,90,3,0.022,0.534,186937,0.865,5.65e-05,4,0.424,-3.537,1,0.0578,108.918,4,0.853,3,"Spring",0
"993","Gold","Kiiara",2016-06-11,96,27,0.615,0.6,225882,0.412,0.0025,8,0.134,-9.343,1,0.344,113.049,5,0.408,6,"Summer",0
"994","Gold Lion","Yeah Yeah Yeahs",2006-04-01,97,3,0.022,0.518,187133,0.846,2.16e-05,9,0.087,-3.313,1,0.07,158.74,4,0.278,4,"Spring",1
"995","Gone","'N Sync",2001-09-22,63,24,0.44,0.702,292220,0.414,0,11,0.141,-8.508,0,0.0596,113.876,4,0.512,9,"Fall",4
"996","Gone","Montgomery Gentry",2005-02-05,76,20,0.017,0.647,249569,0.902,2.05666666666667e-06,7,0.057,-5.241,1,0.0436,118.956,4,0.573,2,"Winter",4
"997","Gone, Gone, Gone","Phillip Phillips",2013-03-23,100,30,0.129,0.662,209693,0.65,0,6,0.113,-5.981,1,0.0383,117.992,4,0.481,3,"Spring",1
"998","Gonna","Blake Shelton",2015-10-03,86,18,0.026,0.667,182947,0.886,0,4,0.076,-5.12,1,0.0387,146.076,4,0.948,10,"Fall",5
"999","Gonna Know We Were Here","Jason Aldean",2014-10-04,92,16,0.034,0.447,224067,0.896,0,9,0.882,-5.57,1,0.173,173.852,4,0.533,10,"Fall",8
"1000","Gonna Wanna Tonight","Chase Rice",2015-08-29,98,12,0.044,0.584,214950,0.79,4.22e-05,2,0.073,-6.544,1,0.0412,123.961,4,0.691,8,"Summer",1
"1001","Good Directions","Billy Currington",2007-03-24,91,20,0.318,0.695,215853,0.731,0,5,0.143,-2.15,1,0.034,122.522,4,0.497,3,"Spring",2
"1002","Good Girl","Carrie Underwood",2012-03-10,24,20,0.028,0.622,205146,0.842,0,0,0.19,-2.87,0,0.067,128.937,4,0.729,3,"Spring",4
"1003","Good Good Night","Roscoe Dash",2011-10-29,98,4,0.121,0.645,205560,0.955,0,10,0.321,-3.86,0,0.302,160.084,4,0.884,10,"Fall",0
"1004","Good Life","OneRepublic",2009-11-28,97,35,0.093,0.636,253307,0.699,0,6,0.115,-7.687,1,0.0551,94.966,4,0.637,11,"Fall",2
"1005","Good Morning Beautiful","Steve Holy",2001-12-01,70,20,0.452,0.565,210933,0.5,0,7,0.137,-8.822,1,0.031,70.984,4,0.242,12,"Winter",0
"1006","Good Time","Alan Jackson",2008-05-24,99,20,0.092,0.648,305413,0.85,1.1115e-05,9,0.439,-6.635,1,0.0438,132.022,4,0.744,5,"Spring",3
"1007","Good Times","Styles",2002-07-20,75,20,0.18,0.676,211493,0.762,0,2,0.784,-7.483,1,0.313,81.745,4,0.648,7,"Summer",0
"1008","Good Times","Tommy Lee",2005-10-01,95,1,0.001,0.495,186874,0.837,1.08e-06,7,0.225,-4.289,1,0.0397,89.06,4,0.544,10,"Fall",0
"1009","Goodbye","Jagged Edge",2001-11-17,77,15,0.134,0.821,273020,0.727,2.4e-06,6,0.053,-6.262,1,0.105,130,4,0.971,11,"Fall",3
"1010","Goodbye","Kristinia DeBarge",2009-05-09,75,16,0.005,0.788,208133,0.815,3.84e-06,1,0.232,-3.168,0,0.0461,119.986,4,0.664,5,"Spring",0
"1011","Goodbye Earl","Dixie Chicks",2000-03-18,40,15,0.022,0.704,258566,0.694,0,0,0.076,-7.421,1,0.0294,122.827,4,0.784,3,"Spring",5
"1012","Goodbye In Her Eyes","Zac Brown Band",2012-10-27,97,20,0.163,0.4,324267,0.558,3.76e-06,3,0.088,-7.393,1,0.038,81.271,4,0.376,10,"Fall",6
"1013","Goodbye My Lover","James Blunt",2006-02-18,100,4,0.953,0.432,258653,0.261,0.00342,4,0.09,-12.591,1,0.0512,89.567,4,0.273,2,"Winter",1
"1014","Goodbye Time","Blake Shelton",2005-06-11,95,9,0.306,0.491,202800,0.34,1.945e-05,2,0.236,-8.177,1,0.026,76.963,4,0.167,6,"Summer",2
"1015","Goodnight Kiss","Randy Houser",2014-01-25,93,16,0.038,0.731,206800,0.71,9.92e-05,1,0.118,-4.285,1,0.0332,111.024,4,0.633,1,"Winter",2
"1016","Gorgeous","Taylor Swift",2017-11-11,13,4,0.071,0.8,209680,0.535,9.48e-06,7,0.213,-6.684,1,0.135,92.027,4,0.451,11,"Fall",5
"1017","Gorilla","Bruno Mars",2013-09-14,89,16,0.445,0.717,244493,0.544,5.16e-06,7,0.097,-6.598,1,0.0371,139.959,4,0.641,9,"Fall",6
"1018","Got It Twisted","Mobb Deep",2004-04-17,99,20,0.096,0.697,224627,0.744,0,11,0.263,-5.702,0,0.229,103.266,4,0.504,4,"Spring",0
"1019","Got Me Going","DAY26",2008-04-12,79,3,0.091,0.755,282373,0.728,0,5,0.094,-6.676,0,0.0786,108.816,4,0.537,4,"Spring",0
"1020","Got My Country On","Chris Cagle",2012-04-14,98,9,0.185,0.505,233787,0.839,0,7,0.041,-4.557,1,0.0538,160.154,4,0.511,4,"Spring",0
"1021","Got Some Teeth","Obie Trice",2003-09-06,99,11,0.236,0.552,227027,0.863,1.94e-05,10,0.371,-2.853,0,0.264,106.47,4,0.725,9,"Fall",0
"1022","Got Ur Self A...","Nas",2001-12-15,99,19,0.012,0.699,228627,0.869,0,11,0.098,-4.263,0,0.238,93.612,4,0.616,12,"Winter",1
"1023","Gots Ta Be","B2K",2002-04-27,73,18,0.04,0.832,321200,0.454,0.000497,2,0.072,-4.252,1,0.0513,131.784,4,0.69,4,"Spring",1
"1024","Gotta Go","Trey Songz",2005-12-03,96,18,0.161,0.675,247053,0.635,0,5,0.48,-5.356,0,0.0632,82.21,4,0.562,12,"Winter",0
"1025","Gotta Tell You","Samantha Mumba",2000-09-09,85,22,0.229,0.729,201067,0.752,0,0,0.19,-4.478,0,0.028,110.007,4,0.792,9,"Fall",0
"1026","Grace Kelly","MIKA",2007-02-17,81,14,0.022,0.678,187733,0.847,0.0329,0,0.373,-5.825,1,0.0519,122.287,4,0.601,2,"Winter",0
"1027","Graduation (Friends Forever)","Vitamin C",2000-04-15,81,12,0.007,0.583,340613,0.637,0.0419,0,0.177,-6.464,1,0.0459,80.004,4,0.315,4,"Spring",0
"1028","Grass Ain't Greener","Chris Brown",2016-09-17,71,4,0.39,0.651,201422,0.601,0,10,0.088,-5.097,0,0.0497,133.954,4,0.512,9,"Fall",5
"1029","Gravity","John Mayer",2007-03-03,97,4,0.731,0.764,245827,0.326,0.0013,7,0.24,-9.883,1,0.0342,123.98,3,0.237,3,"Spring",1
"1030","Greatest","Eminem",2018-09-15,23,2,0.044,0.809,226938,0.737,0,1,0.341,-5.186,1,0.108,80.025,4,0.367,9,"Fall",1
"1031","Greatest Love Story","LANCO",2017-09-23,86,20,0.401,0.671,222573,0.617,0,10,0.119,-8.72,1,0.0561,147.986,4,0.62,9,"Fall",0
"1032","Greatest Time Of Year","Aly & AJ",2006-12-09,96,1,0,0.513,218493,0.838,0,10,0.606,-4.986,1,0.05,150.996,4,0.832,12,"Winter",1
"1033","Green Light","Lorde",2017-03-18,100,9,0.021,0.594,234653,0.721,8.55e-06,2,0.088,-7.812,1,0.0957,128.942,4,0.253,3,"Spring",0
"1034","Grenade","Bruno Mars",2010-10-16,81,36,0.146,0.706,223253,0.558,0,2,0.118,-7.237,0,0.0593,110.443,4,0.227,10,"Fall",0
"1035","Grind With Me","Pretty Ricky",2005-04-16,92,22,0,0.7,237733,0.538,0,1,0.105,-5.952,1,0.045,136.518,4,0.189,4,"Spring",0
"1036","Grindin'","Clipse",2002-05-25,98,20,0.122,0.592,264760,0.77,1.22e-06,1,0.103,-3.402,1,0.318,191.692,4,0.361,5,"Spring",0
"1037","Growing Pains","Alessia Cara",2018-07-14,99,8,0.083,0.353,193627,0.753,0,1,0.383,-6.276,0,0.74,191.142,4,0.432,7,"Summer",3
"1038","Grown Men Don't Cry","Tim McGraw",2001-03-31,70,20,0.158,0.482,234790,0.566,0,10,0.105,-7.138,1,0.0281,178.02,4,0.637,3,"Spring",8
"1039","Guap","Big Sean",2012-12-29,89,12,0.303,0.649,271653,0.716,0,1,0.289,-6.062,1,0.152,146.141,4,0.579,12,"Winter",0
"1040","Gucci Gang","Lil Pump",2017-09-30,81,23,0.239,0.936,124056,0.523,0,5,0.117,-6.71,1,0.0597,119.889,4,0.699,9,"Fall",0
"1041","Gucci Gucci","Kreayshawn",2011-08-13,82,10,0.165,0.712,187840,0.924,1.77e-05,10,0.906,-2.802,0,0.0683,77.508,4,0.901,8,"Summer",0
"1042","Guys Like Me","Eric Church",2007-07-21,100,2,0.002,0.446,191053,0.793,1.15e-06,0,0.328,-6.936,1,0.0308,158.103,4,0.678,7,"Summer",1
"1043","Guys My Age","Hey Violet",2017-02-11,84,5,0.106,0.69,213695,0.663,0,8,0.066,-5.248,0,0.0352,122.041,4,0.285,2,"Winter",0
"1044","Gyalchester","Drake",2017-04-08,98,11,0.034,0.872,189230,0.389,0.000679,1,0.094,-8.343,1,0.0634,131.012,4,0.156,4,"Spring",22
"1045","Gypsy","Shakira",2010-05-15,65,3,0.64,0.763,198827,0.758,0,6,0.071,-5.106,1,0.0576,92.727,4,0.515,5,"Spring",1
"1046","H.O.L.Y.","Florida Georgia Line",2016-05-21,20,22,0.385,0.525,194187,0.685,0,7,0.073,-3.954,0,0.0351,78.003,4,0.54,5,"Spring",7
"1047","Habits (Stay High)","Tove Lo",2014-06-14,66,39,0.07,0.733,209160,0.65,6.59e-05,5,0.083,-3.539,1,0.0315,110.003,4,0.348,6,"Summer",0
"1048","Hair","Lady Gaga",2011-06-04,12,1,0.001,0.57,307893,0.925,1.08e-05,5,0.145,-3.452,1,0.0622,135.001,4,0.366,6,"Summer",9
"1049","Halfway Gone","Lifehouse",2009-12-26,99,20,0,0.543,195307,0.919,0,1,0.243,-4.831,0,0.0415,125.022,4,0.498,12,"Winter",4
"1050","Halfway Off The Balcony","Big Sean",2017-02-25,74,1,0.36,0.529,230960,0.809,0,8,0.242,-6.554,1,0.269,125.285,4,0.136,2,"Winter",2
"1051","Halfway There","Big Time Rush",2010-05-15,93,1,0.001,0.541,212813,0.91,0,8,0.146,-4.725,1,0.052,143.022,4,0.351,5,"Spring",0
"1052","Hallelujah","Leonard Cohen",2016-12-03,59,1,0.583,0.293,278573,0.408,0.000706,0,0.101,-10.039,1,0.0279,171.413,3,0.247,12,"Winter",0
"1053","Hallelujah","Lindsey Stirling",2016-01-09,81,1,0.836,0.155,198093,0.324,0.0637,2,0.078,-10.15,1,0.0393,177.201,3,0.078,1,"Winter",0
"1054","Hallelujah","Panic! At The Disco",2015-05-09,40,1,0.011,0.578,180627,0.886,0,11,0.143,-4.348,1,0.0633,80.008,4,0.615,5,"Spring",1
"1055","Hallelujah","Pentatonix",2016-11-12,32,11,0.47,0.364,268960,0.378,0,7,0.339,-7.381,0,0.0331,89.918,3,0.366,11,"Fall",3
"1056","Halo","Beyonce",2009-02-07,93,31,0.272,0.508,261640,0.72,0,11,0.056,-5.908,0,0.0628,79.983,4,0.472,2,"Winter",3
"1057","HandClap","Fitz And The Tantrums",2016-10-15,89,20,0.006,0.636,193253,0.836,0.000157,8,0.083,-3.004,1,0.0427,139.956,4,0.715,10,"Fall",1
"1058","Handlebars","Flobots",2008-04-26,100,20,0.022,0.704,206813,0.57,0,5,0.101,-7.136,1,0.0989,141.888,4,0.524,4,"Spring",0
"1059","Hands Clean","Alanis Morissette",2002-02-02,65,20,0.002,0.51,270933,0.813,2.295e-06,7,0.512,-5.101,1,0.0296,100.034,4,0.505,2,"Winter",1
"1060","Handsome And Wealthy","Migos",2014-10-11,92,8,0.003,0.858,210557,0.665,0,2,0.094,-2.907,1,0.101,146.031,4,0.237,10,"Fall",1
"1061","Hangin' On","Chris Young",2018-09-15,97,13,0.065,0.434,185440,0.831,0,8,0.119,-4.774,1,0.0453,156.034,4,0.596,9,"Fall",1
"1062","Hanging By A Moment","Lifehouse",2001-02-10,76,54,0.001,0.531,216067,0.855,0,1,0.072,-4.95,1,0.0352,124.578,4,0.424,2,"Winter",0
"1063","Happier","Ed Sheeran",2017-03-25,59,2,0.536,0.522,207520,0.385,0,0,0.135,-7.355,1,0.0288,89.792,4,0.236,3,"Spring",7
"1064","Happy","Leona Lewis",2009-10-03,98,9,0.469,0.34,241827,0.644,0,0,0.082,-4.921,1,0.0529,151.765,4,0.234,10,"Fall",0
"1065","Happy Little Pill","Troye Sivan",2014-08-09,92,1,0.479,0.506,224738,0.387,0.47150109,4,0.115,-11.337,0,0.0436,138.069,4,0.059,8,"Summer",0
"1066","Happy?","Mudvayne",2005-04-30,89,4,0.001,0.546,216427,0.971,2.11e-05,5,0.275,-2.661,0,0.0965,100.078,4,0.383,4,"Spring",0
"1067","Hard Times","Paramore",2017-05-13,90,1,0.006,0.695,182693,0.818,4.87e-06,5,0.022,-5.379,0,0.0334,119.965,4,0.916,5,"Spring",0
"1068","Hard To Love","Lee Brice",2012-06-30,96,23,0.012,0.638,224293,0.722,0.00808,9,0.189,-6.177,1,0.0332,103.017,4,0.469,6,"Summer",2
"1069","Harder To Breathe","Maroon 5",2003-08-23,76,22,0.056,0.666,173693,0.892,0,1,0.049,-4.793,0,0.0482,149.902,4,0.967,8,"Summer",0
"1070","Hate (I Really Don't Like You)","Plain White T's",2006-11-18,100,6,0.003,0.451,224853,0.79,0,1,0.126,-4.529,0,0.0331,161.96,4,0.525,11,"Fall",0
"1071","Hate Me","Blue October",2006-04-29,88,28,0.4,0.311,365063,0.667,4.33333333333333e-07,4,0.332,-6.595,0,0.0437,116.156,4,0.224,4,"Spring",0
"1072","Hate To Say I Told You So","The Hives",2002-07-20,91,11,0.001,0.451,199760,0.929,0.00785,5,0.442,-5.021,1,0.0549,135.767,4,0.378,7,"Summer",0
"1073","Haunted","Taylor Swift",2010-11-13,98,2,0.083,0.436,242080,0.95,1.08e-06,5,0.149,-2.627,1,0.057,162.088,4,0.352,11,"Fall",14
"1074","Have A Nice Day","Bon Jovi",2005-10-08,95,15,0,0.493,229013,0.902,0.0003815,4,0.266,-3.796,1,0.0722,130.046,4,0.59,10,"Fall",0
"1075","Have It All","Jason Mraz",2018-08-25,90,1,0.204,0.643,226107,0.638,0,1,0.071,-4.947,0,0.0407,82.001,4,0.6,8,"Summer",0
"1076","Have You Forgotten?","Darryl Worley",2003-03-15,50,20,0.053,0.466,242293,0.61,0,7,0.117,-5.937,1,0.0354,160.225,4,0.366,3,"Spring",3
"1077","Haven't Met You Yet","Michael Buble",2009-09-19,90,44,0.152,0.615,244587,0.733,0,8,0.109,-4.808,1,0.0335,122.58,4,0.796,9,"Fall",2
"1078","He Gets That From Me","Reba McEntire",2004-12-18,71,12,0.632,0.647,218906,0.399,8.885e-06,10,0.102,-9.399,1,0.0294,143.786,4,0.476,12,"Winter",1
"1079","He Said She Said","Ashley Tisdale",2007-01-27,97,8,0.097,0.694,188000,0.709,0,7,0.267,-6.205,0,0.103,114.966,4,0.566,1,"Winter",0
